ID	Group	TreeID	subtree_ID	long	lat
Ptrem-S1-A-branch-10	branch	A	A_b1	-111.74904	38.52572
Ptrem-S1-A-branch-11	branch	A	A_b1	-111.74904	38.52572
Ptrem-S1-A-branch-12	branch	A	A_b1	-111.74904	38.52572
Ptrem-S1-A-branch-16	branch	A	A_b2	-111.74904	38.52572
Ptrem-S1-A-branch-17	branch	A	A_b2	-111.74904	38.52572
Ptrem-S1-A-branch-18	branch	A	A_b2	-111.74904	38.52572
Ptrem-S1-A-leaf-13	leaf	A	A_l1	-111.74904	38.52572
Ptrem-S1-A-leaf-14-rep	leaf	A	A_l1	-111.74904	38.52572
Ptrem-S1-A-leaf-14	leaf	A	A_l1	-111.74904	38.52572
Ptrem-S1-A-leaf-15	leaf	A	A_l1	-111.74904	38.52572
Ptrem-S1-A-leaf-19	leaf	A	A_l2	-111.74904	38.52572
Ptrem-S1-A-leaf-20	leaf	A	A_l2	-111.74904	38.52572
Ptrem-S1-A-leaf-21	leaf	A	A_l2	-111.74904	38.52572
Ptrem-S1-A-root-1	root	A	A_r1	-111.74904	38.52572
Ptrem-S1-A-root-2	root	A	A_r1	-111.74904	38.52572
Ptrem-S1-A-root-3	root	A	A_r1	-111.74904	38.52572
Ptrem-S1-A-root-4	root	A	A_r2	-111.74904	38.52572
Ptrem-S1-A-root-5	root	A	A_r2	-111.74904	38.52572
Ptrem-S1-A-root-6	root	A	A_r2	-111.74904	38.52572
Ptrem-S1-A-shoot-7	shoot	A	A_s	-111.74904	38.52572
Ptrem-S1-A-shoot-8	shoot	A	A_s	-111.74904	38.52572
Ptrem-S1-A-shoot-9	shoot	A	A_s	-111.74904	38.52572
Ptrem-S1-B-leaf-4	leaf	B	B_l	-111.74908	38.52578
Ptrem-S1-B-leaf-5	leaf	B	B_l	-111.74908	38.52578
Ptrem-S1-B-leaf-6	leaf	B	B_l	-111.74908	38.52578
Ptrem-S1-B-root-1	root	B	B_r	-111.74908	38.52578
Ptrem-S1-B-root-2	root	B	B_r	-111.74908	38.52578
Ptrem-S1-B-root-3	root	B	B_r	-111.74908	38.52578
Ptrem-S1-C-leaf-4	leaf	C	C_l	-111.74905	38.52577
Ptrem-S1-C-leaf-5-rep	leaf	C	C_l	-111.74905	38.52577
Ptrem-S1-C-leaf-5	leaf	C	C_l	-111.74905	38.52577
Ptrem-S1-C-leaf-6	leaf	C	C_l	-111.74905	38.52577
Ptrem-S1-C-root-1	root	C	C_r	-111.74905	38.52577
Ptrem-S1-C-root-2	root	C	C_r	-111.74905	38.52577
Ptrem-S1-C-root-3	root	C	C_r	-111.74905	38.52577
Ptrem-S1-D-leaf-4	leaf	D	D_l	-111.74901	38.52572
Ptrem-S1-D-leaf-5	leaf	D	D_l	-111.74901	38.52572
Ptrem-S1-D-leaf-6	leaf	D	D_l	-111.74901	38.52572
Ptrem-S1-D-root-1	root	D	D_r	-111.74901	38.52572
Ptrem-S1-D-root-2	root	D	D_r	-111.74901	38.52572
